id,price,sqft,bedrooms,bathrooms,location,year_built,garage,pool,condition
1,450000,2100,3,2,Downtown,2015,1,0,Good
2,325000,1650,2,1,Suburbs,2008,1,0,Fair
3,875000,3500,5,3,Downtown,2020,2,1,Excellent
4,275000,1200,2,1,Rural,1995,0,0,Fair
5,520000,2400,4,2,Suburbs,2018,2,0,Good
6,680000,2850,4,3,Downtown,2019,2,1,Excellent
7,195000,950,1,1,Rural,1988,0,0,Poor
8,425000,2000,3,2,Suburbs,2012,1,0,Good
9,550000,2600,4,2,Downtown,2016,1,0,Good
10,310000,1500,3,1,Suburbs,2005,1,0,Fair
11,720000,3100,4,3,Downtown,2021,2,1,Excellent
12,245000,1100,2,1,Rural,2000,0,0,Fair
13,485000,2250,3,2,Suburbs,2017,2,0,Good
14,395000,1850,3,2,Suburbs,2010,1,0,Good
15,625000,2700,4,2,Downtown,2014,2,0,Good
16,180000,850,1,1,Rural,1992,0,0,Poor
17,535000,2450,3,2,Downtown,2018,1,0,Good
18,290000,1400,2,1,Suburbs,2003,1,0,Fair
19,445000,2050,3,2,Suburbs,2015,1,0,Good
20,815000,3300,5,3,Downtown,2022,2,1,Excellent
21,225000,1050,2,1,Rural,1998,0,0,Fair
22,505000,2350,4,2,Suburbs,2019,2,0,Good
23,365000,1750,3,2,Suburbs,2007,1,0,Good
24,590000,2550,4,2,Downtown,2017,1,0,Good
25,155000,780,1,1,Rural,1985,0,0,Poor
26,475000,2150,3,2,Suburbs,2016,1,0,Good
27,680000,2900,4,3,Downtown,2020,2,0,Excellent
28,335000,1600,3,1,Suburbs,2009,1,0,Fair
29,420000,1950,3,2,Suburbs,2013,1,0,Good
30,755000,3200,5,3,Downtown,2021,2,1,Excellent
