user_id,age,gender,activity_type,duration_minutes,calories_burned,heart_rate_avg,steps,distance_km,sleep_hours,water_intake_ml,weight_kg,fitness_goal,workout_intensity,mood_score
1,28,Male,Running,45,420,145,5200,4.2,7.5,2000,75.5,Weight Loss,High,8
2,34,Female,Yoga,60,180,95,800,0.5,8.0,1800,62.3,Flexibility,Low,9
3,22,Male,Cycling,90,650,155,0,25.5,6.5,2500,82.1,Endurance,High,7
4,45,Female,Swimming,40,350,130,0,1.2,7.0,2200,68.9,Weight Loss,Medium,8
5,31,Male,Weight Training,75,380,125,1200,0.8,6.0,2800,88.4,Muscle Gain,High,7
6,27,Female,Running,30,280,140,3500,2.8,7.5,1900,58.2,Weight Loss,Medium,8
7,39,Male,Walking,60,220,105,7500,5.5,8.0,1600,79.8,General Fitness,Low,9
8,24,Female,HIIT,25,320,165,2000,1.5,6.5,2100,55.6,Weight Loss,High,6
9,52,Male,Cycling,45,380,135,0,15.2,7.0,2000,85.3,Endurance,Medium,8
10,29,Female,Yoga,75,210,90,600,0.4,8.5,1700,60.1,Flexibility,Low,10
11,33,Male,Running,60,550,150,7000,5.6,6.5,2400,77.2,Endurance,High,7
12,41,Female,Swimming,50,400,125,0,1.5,7.5,2300,65.4,Weight Loss,Medium,8
13,26,Male,Weight Training,90,450,130,1500,1.0,6.0,3000,92.5,Muscle Gain,High,7
14,37,Female,Walking,45,180,100,5500,4.0,8.0,1500,63.8,General Fitness,Low,9
15,23,Male,HIIT,30,380,170,2500,1.8,6.0,2200,70.3,Weight Loss,High,6
16,48,Female,Yoga,60,190,88,700,0.5,7.5,1800,67.2,Flexibility,Low,9
17,30,Male,Cycling,120,850,145,0,35.0,7.0,2800,80.1,Endurance,High,8
18,35,Female,Running,40,360,142,4500,3.6,7.0,2000,59.5,Weight Loss,Medium,7
19,28,Male,Swimming,45,380,128,0,1.4,6.5,2400,78.9,Endurance,Medium,8
20,42,Female,Weight Training,60,320,118,1000,0.7,7.5,2100,70.5,Muscle Gain,Medium,8
21,25,Male,Running,55,480,148,6200,5.0,6.5,2300,73.2,Weight Loss,High,7
22,38,Female,Yoga,90,250,92,900,0.6,8.5,1900,61.8,Flexibility,Low,10
23,31,Male,HIIT,35,420,168,2800,2.0,6.0,2500,76.4,Weight Loss,High,6
24,46,Female,Walking,75,280,108,9000,6.5,8.0,1700,69.1,General Fitness,Low,9
25,27,Male,Cycling,60,520,140,0,20.0,7.0,2200,81.5,Endurance,Medium,8
26,33,Female,Swimming,55,420,132,0,1.7,7.5,2400,64.2,Weight Loss,High,8
27,29,Male,Weight Training,80,410,128,1300,0.9,6.5,2900,89.7,Muscle Gain,High,7
28,44,Female,Running,35,310,138,4000,3.2,7.0,1900,66.5,Weight Loss,Medium,7
29,36,Male,Yoga,45,150,85,500,0.3,8.0,1600,74.8,Flexibility,Low,9
30,24,Female,HIIT,28,350,172,2200,1.6,6.0,2000,54.3,Weight Loss,High,6
31,50,Male,Walking,90,350,112,11000,8.0,7.5,1800,83.6,General Fitness,Low,8
32,32,Female,Cycling,75,580,138,0,25.0,7.0,2300,62.9,Endurance,High,8
33,26,Male,Swimming,40,340,126,0,1.3,6.5,2200,77.1,Endurance,Medium,7
34,40,Female,Weight Training,70,360,122,1100,0.8,7.5,2500,71.8,Muscle Gain,Medium,8
35,28,Male,Running,50,450,146,5800,4.6,6.5,2400,74.5,Weight Loss,High,7
36,35,Female,Yoga,60,200,94,750,0.5,8.0,1800,59.7,Flexibility,Low,9
